dataset,output_path,generator,source_artifact,source_md5,source_id,citation_key,source_url,source_doi,retrieval_date,license,provenance_status,units,wavelength_min_nm,wavelength_max_nm,wavelength_step_nm,processing_steps,processing_version
CIE1931,data/CIE1931.rda,data-raw/build_cie_efficiency_data.R,data-raw/cie_sources.csv,0962ef5985b009be7493a551c94976b1,cie-photopic-2019,ciePhotopic2019,https://files.cie.co.at/CIE_sle_photopic.csv,10.25039/CIE.DS.dktna2s3,2026-07-21,CC BY-SA 4.0,pinned upstream source,lambda=nm;W=dimensionless,360,830,1,download pinned CSV and metadata; validate complete grid and [0;1] range,cie-018-v1
CIE_scotopic,data/CIE_scotopic.rda,data-raw/build_cie_efficiency_data.R,data-raw/cie_sources.csv,0962ef5985b009be7493a551c94976b1,cie-scotopic-2019,cieScotopic2019,https://files.cie.co.at/CIE_sle_scotopic.csv,10.25039/CIE.DS.gr6w4b5g,2026-07-21,CC BY-SA 4.0,pinned upstream source,lambda=nm;W=dimensionless,380,780,1,download pinned CSV and metadata; validate complete grid and [0;1] range,cie-018-v1
Naples,data/Naples.rda,data-raw/build_legacy_optical_data.R,data-raw/naples_legacy_snapshot.csv,5952acfab4a04ea1b02eb085e6a768d5,naples-mare-chiaro-legacy,naplesBokKirwan2021,unpublished-author-provided-data,not-applicable,2021-12-31,legacy bundled snapshot; redistribution terms not documented,legacy canonical snapshot extracted from luxR commit 2375244,wv=nm;depth_0m|depth_5m|depth_10m=umol/m2/s/nm,352.5,862.5,5,parse canonical processed snapshot; validate schema grid and non-negative irradiance,naples-legacy-v1
jerlov_types,data/jerlov_types.rda,data-raw/build_legacy_optical_data.R,data-raw/jerlov_types_legacy_snapshot.csv,5d2e7745624fb78d4c513ee70af50ee4,jerlov-legacy-digitization,jerlovMarineOptics1976;solonenkoMobley2015,https://doi.org/10.1364/AO.54.005392,10.1364/AO.54.005392,2026-07-21,publication copyright; bundled numeric legacy digitization,legacy canonical snapshot extracted from luxR commit 2375244,type=category;lambda=nm;Kd=1/m,350,700,25,parse canonical digitization; validate eight types complete grids and non-negative Kd,jerlov-legacy-v1
solar_spectra,data/solar_spectra.rda,data-raw/build_legacy_optical_data.R,data-raw/solar_spectra_legacy_snapshot.csv,d85c574eff45c07906b6d806cc792c94,astm-g173-derived-legacy,astmG1732012;jerlovMarineOptics1976,https://www.nrel.gov/grid/solar-resource/spectra-am1.5,not-applicable,2026-05-24,ASTM source terms apply; derived legacy snapshot,legacy canonical snapshot extracted from luxR commit 2375244,condition=category;wavelength=nm;irradiance=W/m2/nm,300,800,10,parse five-condition snapshot; validate grids; retain documented scaling and Jerlov legacy assumptions,solar-legacy-v1
species_sensitivities,data/species_sensitivities.rda,data-raw/build_species_data.R,data-raw/species_sensitivities.csv,ecf2f84155f030150520d4d714e5471e,species-receptor-literature,bowmakerDartnall1980;bailesLucas2013;robinsonZebrafishUltravioletVisual1993;peitsch1992;salcedo1999;hart2004;yokoyama1999;yoshiura2011;hawryshynRegenerationUltravioletsensitiveCones2003,publication citations in inst/REFERENCES.bib,multiple-see-citations,2026-07-21,citation-only source facts; no article content redistributed,reviewed literature transcription,lambda_max=nm,344,620,not-applicable,strict CSV parse; validate receptor keys chromophores roles and positive peaks,species-v1
species_channels,data/species_channels.rda,data-raw/build_species_data.R,data-raw/species_channels.csv,7043c942bdbd35ec94c6c642bbfe0486,species-channel-literature,bowmakerDartnall1980;robinsonZebrafishUltravioletVisual1993;peitsch1992;kraussNeumeyer2003;niggebrugge2003;yamaguchi2008,publication citations in inst/REFERENCES.bib,multiple-see-citations,2026-07-21,citation-only source facts; no article content redistributed,reviewed literature transcription,receptor=category;weight=dimensionless,not-applicable,not-applicable,not-applicable,strict CSV parse; validate membership defaults roles and positive weights,species-v1
species_channel_support,data/species_channel_support.rda,data-raw/build_species_data.R,data-raw/species_channel_support.csv,a735fd97375a338e887a63bca339e744,species-support-review,bowmakerDartnall1980;robinsonZebrafishUltravioletVisual1993;peitsch1992;kraussNeumeyer2003;niggebrugge2003;yamaguchi2008;packageReviewDecision,publication citations in inst/REFERENCES.bib,multiple-see-citations,2026-07-21,citation-only source facts and package review decisions,reviewed literature transcription and explicit package decisions,status=category,not-applicable,not-applicable,not-applicable,strict CSV parse; require every species-role decision and exact default alignment,species-v1
